ab,
0, 
0.000576037,
0.001152074,
0.001728111,
0.002304147,
0.002880184,
0.003456221,
0.004032258,
0.004608295,
0.005184332,
0.005760369,
0.006336406,
0.006912442,
0.007488479,
0.008064516,
0.008640553,
0.00921659,
0.009792627,
0.010368664,
0.0109447,
0.011520737,
0.012096774,
0.012672811,
0.013248848,
0.013824885,
0.014400922,
0.014976959,
0.015552995,
0.016129032,
0.016705069,
0.017281106,
0.017857143,
0.01843318,
0.019009217,
0.019585253,
0.02016129,
0.020737327,
0.021313364,
0.021889401,
0.022465438,
0.023041475,
0.023617512,
0.024193548,
0.024769585,
0.025345622,
0.025921659,
0.026497696,
0.027073733,
0.02764977,
0.028225806,
0.028801843,
0.02937788,
0.029953917,
0.030529954,
0.031105991,
0.031682028,
0.032258065,
0.032834101,
0.033410138,
0.033986175,
0.034562212,
0.035138249,
0.035714286,
0.036290323,
0.036866359,
0.037442396,
0.038018433,
0.03859447,
0.039170507,
0.039746544,
0.040322581,
0.040898618,
0.041474654,
0.042050691,
0.042626728,
0.043202765,
0.043778802,
0.044354839,
0.044930876,
0.045506912,
0.046082949,
0.046658986,
0.047235023,
0.04781106,
0.048387097,
0.048963134,
0.049539171,
0.050115207,
0.050691244,
0.051267281,
0.051843318,
0.052419355,
0.052995392,
0.053571429,
0.054147465,
0.054723502,
0.055299539,
0.055875576,
0.056451613,
0.05702765,
0.057603687,
0.058179724,
0.05875576,
0.059331797,
0.059907834,
0.060483871,
0.061059908,
0.061635945,
0.062211982,
0.062788018,
0.063364055,
0.063940092,
0.064516129,
0.065092166,
0.065668203,
0.06624424,
0.066820276,
0.067396313,
0.06797235,
0.068548387,
0.069124424,
0.069700461,
0.070276498,
0.070852535,
0.071428571,
0.072004608,
0.072580645,
0.073156682,
0.073732719,
0.074308756,
0.074884793,
0.075460829,
0.076036866,
0.076612903,
0.07718894,
0.077764977,
0.078341014,
0.078917051,
0.079493088,
0.080069124,
0.080645161,
0.081221198,
0.081797235,
0.082373272,
0.082949309,
0.083525346,
0.084101382,
0.084677419,
0.085253456,
0.085829493,
0.08640553,
0.086981567,
0.087557604,
0.088133641,
0.088709677,
0.089285714,
0.089861751,
0.090437788,
0.091013825,
0.091589862,
0.092165899,
0.092741935,
0.093317972,
0.093894009,
0.094470046,
0.095046083,
0.09562212,
0.096198157,
0.096774194,
0.09735023,
0.097926267,
0.098502304,
0.099078341,
0.099654378,
0.100230415,
0.100806452,
0.101382488,
0.101958525,
0.102534562,
0.103110599,
0.103686636,
0.104262673,
0.10483871,
0.105414747,
0.105990783,
0.10656682,
0.107142857,
0.107718894,
0.108294931,
0.108870968,
0.109447005,
0.110023041,
0.110599078,
0.111175115,
0.111751152,
0.112327189,
0.112903226,
0.113479263,
0.1140553,
0.114631336,
0.115207373,
0.11578341,
0.116359447,
0.116935484,
0.117511521,
0.118087558,
0.118663594,
0.119239631,
0.119815668,
0.120391705,
0.120967742,
0.121543779,
0.122119816,
0.122695853,
0.123271889,
0.123847926,
0.124423963,
0.125,
0.125576037,
0.126152074,
0.126728111,
0.127304147,
